id,Last name,First name,cust_zip_code,city,birthdate,street,housenr,stateCode,state,state_1,population,nrPerState,label,Comment
" 61",gqb-firstname,pduwm-name," 14240",cyr-city,1954/07/03,ndux-street," 13",SOUTH DAKOTA,SD,SOUTH DAKOTA,869666," 4",N-Z,no comment.
" 139",ing-firstname,yfcbv-name," 10300",ddb-city,1966/04/12,amuj-street," 32",SOUTH DAKOTA,SD,SOUTH DAKOTA,869666," 4",N-Z,no comment.
" 90",tuy-firstname,otncg-name," 16540",ulk-city,1971/01/24,yuia-street," 166",TEXAS,TX,TEXAS,28304596," 4",N-Z,no comment.
" 47",zwd-firstname,wahfx-name," 13240",vic-city,1974/03/27,axpw-street," 131",UTAH,UT,UTAH,3101833," 5",N-Z,no comment.
" 156",taf-firstname,oktge-name," 11200",ibx-city,1990/09/05,clbk-street," 70",UTAH,UT,UTAH,3101833," 5",N-Z,no comment.
" 171",qec-firstname,wfeuq-name," 16540",obq-city,1950/11/17,keyf-street," 108",UTAH,UT,UTAH,3101833," 5",N-Z,no comment.
" 77",gmb-firstname,slixq-name," 19980",ftt-city,1982/06/22,xinx-street," 111",VERMONT,VT,VERMONT,623657," 2",N-Z,no comment.
" 123",vht-firstname,ugbci-name," 17100",ffc-city,1962/10/16,ixha-street," 99",VERMONT,VT,VERMONT,623657," 2",N-Z,no comment.
" 22",hva-firstname,ptzmg-name," 15740",gux-city,1978/05/04,pugy-street," 122",VIRGIN ISLANDS,VI,,," 2",N-Z,no comment.
" 75",fez-firstname,owvjk-name," 19740",ldb-city,1978/06/14,kabf-street," 87",VIRGINIA,VA,VIRGINIA,8470020," 3",N-Z,no comment.
" 197",qwr-firstname,zuhli-name," 19800",nqp-city,1970/01/21,mdew-street," 8",VIRGINIA,VA,VIRGINIA,8470020," 3",N-Z,no comment.
" 24",zpj-firstname,wccwo-name," 16600",uim-city,1962/09/29,ygih-street," 26",WASHINGTON,WA,WASHINGTON,7405743," 4",N-Z,no comment.
" 69",btx-firstname,uohts-name," 13480",dal-city,1990/10/22,llyw-street," 150",WASHINGTON,WA,WASHINGTON,7405743," 4",N-Z,no comment.
" 120",mot-firstname,qzxic-name," 14840",qvf-city,1970/03/19,gelo-street," 149",WASHINGTON,WA,WASHINGTON,7405743," 4",N-Z,no comment.
" 92",ggc-firstname,ucogf-name," 14500",fsj-city,1978/02/08,asfi-street," 53",WEST VIRGINIA,WV,WEST VIRGINIA,1815857," 4",N-Z,no comment.
" 116",iws-firstname,pnacg-name," 11640",dtx-city,1966/06/01,kwwj-street," 177",WEST VIRGINIA,WV,WEST VIRGINIA,1815857," 4",N-Z,no comment.
" 133",vle-firstname,tjrgp-name," 15620",sdv-city,1962/12/08,zdyx-street," 88",WEST VIRGINIA,WV,WEST VIRGINIA,1815857," 4",N-Z,no comment.
" 18",bdl-firstname,nxzij-name," 10740",avx-city,1958/02/20,nybz-street," 138",WISCONSIN,WI,WISCONSIN,5795483," 3",N-Z,no comment.
" 126",ivo-firstname,zoucr-name," 14040",grt-city,1990/04/29,qhox-street," 90",WISCONSIN,WI,WISCONSIN,5795483," 3",N-Z,no comment.
" 174",zyo-firstname,qbqrg-name," 13420",cdh-city,1958/06/13,gqst-street," 167",WYOMING,WY,WYOMING,579315," 3",N-Z,no comment.
" 38",gep-firstname,vvyce-name," 13740",gtd-city,1982/05/23,kwbv-street," 123",undefined,undefined,,," 1",N-Z,no comment.
" 122",yoo-firstname,jsxhg-name," 13440",ulf-city,1982/06/28,krry-street," 55",NEW YORK,NY,NEW YORK,19849399," 5",A-M,New York rocks!
" 154",yjl-firstname,jeyeq-name," 12740",jgr-city,1978/06/21,aavd-street," 61",NEW YORK,NY,NEW YORK,19849399," 5",A-M,New York rocks!
" 157",dmu-firstname,cdrrm-name," 11980",bqa-city,1962/06/18,owlk-street," 26",NEW YORK,NY,NEW YORK,19849399," 5",A-M,New York rocks!
